"Serial number","image prompt","video prompt","voice over prompt"
1,"Hyper realistic close-up of a dusty pink pediatric wheelchair sitting empty in a dark, shadowy hallway, single dramatic spotlight shining down on it, eerie atmosphere, abandoned, medical equipment, cinematic, photorealistic, 8K ultra detail. Negative prompt: cartoon, anime, illustration, CGI, blurry, people, children visible, faces, watermark, text overlay, pixelated, bright lighting, happy atmosphere","Slow dramatic zoom","So imagine finding out your entire life, your illnesses, and even your actual age, was a complete lie made up by your own mother."
2,"Cinematic wide shot of a small, bright pink charity-built house in a quiet suburban neighborhood at dusk, warm porch light on, seemingly innocent facade with dark storm clouds gathering above, hyper realistic, architectural photography, 8K ultra detail. Negative prompt: cartoon, anime, 3D render, deformed, blurry, people walking, text overlay, logos, chaotic scene, bright sunny sky","Subtle slow tilt","Meet Gypsy Rose, a girl who supposedly had leukemia, muscular dystrophy, and the mental capacity of a seven-year-old."
3,"Hyper realistic close-up of a wooden table covered in charity checks, free Disney World passes, and colorful prescription pill bottles scattered everywhere, shallow depth of field, dramatic overhead lighting, cinematic, photorealistic, 8K ultra detail. Negative prompt: cartoon, 3D render, faces, hands, text overlay, pixelated, blurry text, cartoon pills, cluttered background","Slow smooth pan","Her mom, Dee Dee, was the 'perfect' caretaker, soaking in charity money, free trips, and a literal free house."
4,"Cinematic close-up of a magnifying glass resting on a stack of falsified medical records with blacked-out names, stark harsh desk lamp lighting, dust motes in the air, true crime documentary aesthetic, photorealistic, 8K ultra detail. Negative prompt: cartoon, anime, CGI, real identifiable people, faces, watermark, text overlay, blurry documents, colorful lighting","Slow dramatic pan","...UNTILLLLL... doctors and neighbors started noticing something just didn't add up."
5,"Hyper realistic shot of a pair of unused metal leg braces abandoned in a corner, dust collecting on the straps, dramatic shadows casting a sinister shape on the wall behind, moody lighting, cinematic, photorealistic, 8K ultra detail. Negative prompt: cartoon, anime, 3D render, people wearing braces, faces, body parts, watermark, bright lighting, pixelated","Slow rotating shot","Because spoiler alert: she wasn't sick at all."
6,"Hyper realistic macro shot of a metal feeding tube resting next to a pile of sugar candies on a sterile tray, harsh hospital fluorescent lighting, sterile atmosphere, cinematic depth of field, photorealistic, 8K ultra detail. Negative prompt: cartoon, anime, 3D render, blood, graphic content, faces, hands, watermark, text, pixelated, messy background","Slow low angle tilt","She could walk perfectly fine, didn't need a feeding tube, and her teeth only rotted out because of the unnecessary medications."
7,"Cinematic close-up of an old glowing laptop screen in a pitch-black room, showing a generic Christian dating website interface, reflections on the keyboard, moody blue screen glow, late night atmosphere, photorealistic, 8K ultra detail. Negative prompt: cartoon, anime, CGI, real website logos, real identifiable people, faces, hands typing, watermark, blurry text, pixelated","Slow sweeping shot","Trapped in this nightmare, she secretly got online and met a guy named Nick."
8,"Hyper realistic close-up of two shadowy figures' silhouettes projected onto a bedroom wall, holding hands in the darkness, ominous red hue from a street lamp outside, suspenseful atmosphere, cinematic, photorealistic, 8K ultra detail. Negative prompt: cartoon, anime, 3D render, detailed faces, identifiable people, bright lighting, text overlay, watermark, pixelated, romantic lighting","Slow push-in","And together, they hatched a brutal, irreversible plan to finally get her freedom."
9,"Cinematic shot of a heavy wooden bedroom door slightly ajar, dark hallway outside, a single kitchen knife resting ominously on a hallway table catching the moonlight, suspenseful true crime documentary aesthetic, deep shadows, photorealistic, 8K ultra detail. Negative prompt: cartoon, anime, CGI, blood, graphic violence, bodies, people, faces, watermark, pixelated, bright lights","Slow pull-back","In June 2015, Nick traveled to their house and attacked Dee Dee while Gypsy hid in the bathroom."
10,"Hyper realistic close-up of a cracked smartphone screen displaying a chilling Facebook status update on a blank profile, cold blue screen glare, dark bedroom background, cinematic lighting, photorealistic, 8K ultra detail. Negative prompt: cartoon, anime, CGI, real identifiable people, actual facebook logo, hands holding phone, watermark, blurry text, pixelated","Slow orbital shot","They fled, but were caught days later after a wild, incriminating status was posted on her mom's Facebook page."
11,"Cinematic wide shot of a pair of pink sneakers walking away from a discarded pediatric wheelchair on a wet asphalt road at night, rain reflecting streetlights, powerful visual metaphor, moody atmosphere, photorealistic, 8K ultra detail. Negative prompt: cartoon, anime, 3D render, faces, upper bodies, identifiable people, watermark, text overlay, pixelated, bright daylight","Slow top-down tilt","When police finally found them, the world was absolutely stunned to see her walking entirely on her own two feet."
12,"Hyper realistic close-up of an old wooden courtroom gavel resting next to a pair of heavy steel handcuffs on a judge's bench, dusty atmosphere, dramatic lighting streaming through blinds, cinematic, photorealistic, 8K ultra detail. Negative prompt: cartoon, anime, CGI, judges, lawyers, people, faces, watermark, text overlay, pixelated, modern court equipment","Slow fade-in with zoom","She took a plea deal for second-degree murder and got 10 years, while Nick got life in prison."
13,"Cinematic shot of heavy iron prison gates slowly opening outward, revealing bright golden sunlight and a long empty road ahead, hopeful but eerie atmosphere, high contrast lighting, photorealistic, 8K ultra detail. Negative prompt: cartoon, anime, CGI, prisoners, guards, faces, vehicles, text overlay, watermark, pixelated, low quality","Slow dramatic zoom","And just recently, she was released on parole, stepping into a world she never truly knew."
