"Serial number","image prompt","video prompt","voice over prompt"
"1","Paper cut-out animation style, purple black and white color tone, hyper realistic view from a dark secret room looking through a small gap in the wall towards a dimly lit hallway, cinematic, 8K ultra detail, photorealistic. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, identifiable faces, bright colors","zoom-in","So imagine this: you are watching your own funeral from a secret room inside your own house while your kids cry over an empty coffin."
"2","Paper cut-out animation style, purple black and white color tone, hyper realistic shattered red canoe washing up on a bleak rocky beach under a stormy sky, cinematic, 8K ultra detail, photorealistic. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, identifiable faces, people, victims","pan-L→R","Back in 2002, a British man named John was drowning in debt, so he did what he thought was the only logical thing—he took his canoe out to sea and completely vanished."
"3","Paper cut-out animation style, purple black and white color tone, hyper realistic official coroner's death certificate stamped in heavy black ink resting on a dark oak desk, cinematic, 8K ultra detail, photorealistic. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, identifiable faces","zoom-out","The police searched the freezing ocean for weeks, his two sons were devastated, and a year later, a judge officially declared him dead."
"4","Paper cut-out animation style, purple black and white color tone, hyper realistic thick stack of British pound notes wrapped in tight bank bands sitting on a kitchen counter, cinematic, 8K ultra detail, photorealistic. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, identifiable faces, modern currency","diagonal","His grieving wife then cashed in a massive quarter-of-a-million-pound life insurance cheque to pay off their mortgage and debts."
"5","Paper cut-out animation style, purple black and white color tone, hyper realistic shadowy silhouette of a man sitting comfortably in a dark armchair drinking tea, cinematic, 8K ultra detail, photorealistic. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, identifiable faces, bright lighting","vert-pan","But here is the absolutely insane part—John was not dead at all."
"6","Paper cut-out animation style, purple black and white color tone, hyper realistic cramped hidden bedsit room with a small unmade cot and peeling Victorian wallpaper, cinematic, 8K ultra detail, photorealistic. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, identifiable faces","pan-R→L","He was secretly living in a tiny, cramped bedsit right next door to his family home."
"7","Paper cut-out animation style, purple black and white color tone, hyper realistic heavy wooden wardrobe slightly pulled away from a wall revealing a dark jagged hidden passageway, cinematic, 8K ultra detail, photorealistic. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, identifiable faces","zoom-in","He had even knocked a secret hole through the wall behind a massive wardrobe so he could sneak into his wife's bedroom every single night."
"8","Paper cut-out animation style, purple black and white color tone, hyper realistic two framed silhouettes of young men sitting on a dark mantlepiece next to a flickering unlit candle, cinematic, 8K ultra detail, photorealistic. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, identifiable faces, real photos, children","pan-L→R","And he actually pulled this insane lie off for five entire years, while his own sons thought he was rotting at the bottom of the ocean."
"9","Paper cut-out animation style, purple black and white color tone, hyper realistic polaroid photograph resting on tropical sand with a harsh palm tree shadow falling across it, cinematic, 8K ultra detail, photorealistic. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, identifiable faces","zoom-out","...UNTILLLLL one single, incredibly stupid mistake in a tropical country thousands of miles away completely destroyed his master plan."
"10","Paper cut-out animation style, purple black and white color tone, hyper realistic towering stack of British tabloid newspapers with bold black redacted headlines, cinematic, 8K ultra detail, photorealistic. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, readable text, pixelated, low quality, identifiable faces","diagonal","When the British public finally found out what he did, half the country couldn't believe the audacity, while the other half wondered how his wife kept a straight face."
"11","Paper cut-out animation style, purple black and white color tone, hyper realistic close up of a woman's trembling hands tensely gripping a cracked mug of black coffee, cinematic, 8K ultra detail, photorealistic. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, identifiable faces","vert-pan","Like, honestly, how do you look your grieving kids in the eyes for five years knowing their dad is just hiding in the closet?"
"12","Paper cut-out animation style, purple black and white color tone, hyper realistic two empty wooden chairs facing a dark stormy window with rain running down the glass, cinematic, 8K ultra detail, photorealistic. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, identifiable faces, victims, people","pan-R→L","The real victims here were his two innocent sons, who were forced to mourn their father twice—first for his death, and then for his ultimate betrayal."
"13","Paper cut-out animation style, purple black and white color tone, hyper realistic crumbling ceramic piggy bank sitting heavily on top of a pile of overdue bills, cinematic, 8K ultra detail, photorealistic. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, readable text, pixelated, low quality, identifiable faces","zoom-in","It just makes you wonder how far a person is actually willing to go just to escape their own financial failures."
