Serial number,image prompt,video prompt,voice over prompt
1,"Hyper realistic close-up of a broken wooden paddle washed up on a cold, desolate pebbled beach, dark stormy waves crashing in the background, gray overcast English sky, moody cinematic lighting, shallow depth of field, 8K ultra detail, photorealistic. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality",-,"John Darwin faked his own death in a canoe, leaving his family grieving, only to be found alive years later in Panama."
2,"Hyper realistic shot of a stack of unpaid bills and final notice letters on a dark wooden table next to an empty coffee mug, dim lighting from a single window, gloomy domestic atmosphere, shallow depth of field, photorealistic, 8K ultra detail, cinematic. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality",-,"In 2002, John was drowning in massive debt."
3,"Hyper realistic wide shot of a gloomy, gray brick house facing a rough sea in a quiet seaside town in England, rain slicked pavement, overcast misty afternoon, moody atmospheric lighting, photorealistic, 8K ultra detail, cinematic. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality",-,"He lived in a quiet English seaside town, planning a desperate escape."
4,"Hyper realistic wide shot of a lone red canoe floating out into a vast, dark, freezing sea under a heavy fog, cold blue tones, eerie silence, distant horizon, photorealistic, 8K ultra detail, cinematic. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality",-,"He paddled his red canoe into the freezing sea and vanished."
5,"Hyper realistic close-up of a damaged, battered red canoe lying washed up on wet coastal pebbles, flashing blue police lights reflecting on the wet plastic, night scene, shallow depth of field, photorealistic, 8K ultra detail, cinematic. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality",-,"The police found only a smashed canoe, and declared him dead."
6,"Hyper realistic interior shot of a tiny, cramped secret room with a single mattress on the floor, a small lamp casting long shadows, a hidden doorway cut into the wall, secretive atmosphere, photorealistic, 8K ultra detail, cinematic. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality",-,"But John wasn't dead; he was hiding in a secret room next door."
7,"Hyper realistic shot of a large wooden wardrobe in a bedroom, with one door slightly ajar revealing a dark narrow passage behind it, warm evening room light, mysterious mood, shallow depth of field, photorealistic, 8K ultra detail, cinematic. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality",-,"His own sons mourned him, completely unaware he was living behind their wardrobe."
8,"Hyper realistic close-up of hands counting thick stacks of British banknotes on a desk next to an official insurance claim document, sharp focus on the money, warm interior lighting, photorealistic, 8K ultra detail, cinematic. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality",-,"For five years, John and his wife collected hundreds of thousands in insurance payouts."
9,"Hyper realistic shot of a printed photograph lying on a tropical sandy beach, showing the vague silhouettes of a man and a woman in tropical shirts, palm trees and sunny Panama sky in background, sun flare, photorealistic, 8K ultra detail, cinematic. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality",-,"They escaped to a tropical paradise, until a single photo ruined everything."
10,"Hyper realistic shot of a police station reception counter at night, a wet coat draped over a chair, bright fluorescent lighting, cold institutional atmosphere, shallow focus, photorealistic, 8K ultra detail, cinematic. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality",-,"John walked into a police station claiming he had amnesia."
11,"Hyper realistic close-up of a computer monitor displaying a blurry photo of a couple on a website, surrounded by news articles with bold headlines, dark room, blue screen light reflecting on the desk, photorealistic, 8K ultra detail, cinematic. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality",-,"But the internet found the photo of him smiling in Panama."
12,"Hyper realistic shot of a framed family photo with two young boys, lying face down on a wooden floor with the glass cracked across their faces, dust motes in a beam of light, sad melancholic mood, photorealistic, 8K ultra detail, cinematic. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality",-,"His sons were absolutely devastated by their parents' cruel deception."
13,"Hyper realistic close-up of a metal key hanging from a hook in an empty room, cast shadows on a blank wall, stark minimalist layout, cold morning light, photorealistic, 8K ultra detail, cinematic. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality",-,"How could a mother lie to her own children for five long years?"
14,"Hyper realistic shot of a television screen showing static, a dark living room, a VHS tape case lying on the coffee table with a handwritten label reading CANOE CASE, photorealistic, 8K ultra detail, cinematic. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality",-,"Watch our full video to see the hidden rooms and how the canoe man was finally caught."
15,"Hyper realistic shot of a courtroom gavel resting on a leather block, dark wood judge bench in background, dramatic spotlight lighting, tense institutional atmosphere, photorealistic, 8K ultra detail, cinematic. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality",-,"Do you think his wife Anne was the real mastermind behind this, or was she just a victim? Let me know in the comments."
