"Serial number","image prompt","video prompt","voice over prompt"
"1","Paper cut-out animation style, purple black and white color tone, hyper realistic brand new brightly lit drive-through car wash glowing at night against a dark skyline, cinematic, 8K ultra detail, photorealistic. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, identifiable faces, bright colors","zoom-in","Every time you see a brand new car wash pop up in your city, you probably think someone just really loves clean cars."
"2","Paper cut-out animation style, purple black and white color tone, hyper realistic heavy iron bank vault door cracking open to reveal towering stacks of official tax documents, cinematic, 8K ultra detail, photorealistic. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, identifiable faces, colorful","pan-L→R","But what you are actually looking at is one of the most aggressive legal tax loopholes the rich use to pay absolutely zero percent to the IRS."
"3","Paper cut-out animation style, purple black and white color tone, hyper realistic sleek black briefcase overflowing with pristine hundred dollar bills sitting on a mahogany desk, cinematic, 8K ultra detail, photorealistic. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, identifiable faces, colorful","zoom-out","It is a little secret called Bonus Depreciation, and it is the exact reason billionaires love buying businesses that look incredibly boring."
"4","Paper cut-out animation style, purple black and white color tone, hyper realistic rising stock market chart morphing into a giant grabbing hand made of dark shadows, cinematic, 8K ultra detail, photorealistic. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, readable text, pixelated, low quality, identifiable faces","diagonal","Normally, if a millionaire makes a massive profit in the stock market, the government steps in and aggressively takes a huge chunk of it."
"5","Paper cut-out animation style, purple black and white color tone, hyper realistic glowing magic wand tapping a heavy tax bill and turning it into ash, cinematic, 8K ultra detail, photorealistic. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, identifiable faces, colorful","vert-pan","But if they take that profit and immediately buy a car wash, the tax code suddenly lets them write off almost the entire purchase in year one."
"6","Paper cut-out animation style, purple black and white color tone, hyper realistic empty luxury leather office chair facing a window overlooking a rainy city, cinematic, 8K ultra detail, photorealistic. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, identifiable faces, people","pan-R→L","They don't even have to run the car wash themselves; they just hire a manager and sit back while the automated machines quietly print money."
"7","Paper cut-out animation style, purple black and white color tone, hyper realistic silver coin dropping into a continuously overflowing water bucket, cinematic, 8K ultra detail, photorealistic. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, identifiable faces","zoom-in","So not only do they get a brand new business that generates passive cash flow every single month, but their massive tax bill gets wiped completely clean."
"8","Paper cut-out animation style, purple black and white color tone, hyper realistic small porcelain piggy bank sitting triumphantly on top of a towering skyscraper, cinematic, 8K ultra detail, photorealistic. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, identifiable faces","pan-L→R","And the absolute craziest part is that you don't even need millions of dollars to actually pull this off yourself."
"9","Paper cut-out animation style, purple black and white color tone, hyper realistic giant heavy red stamp crashing down onto a desk with a loud impact cloud of dust, cinematic, 8K ultra detail, photorealistic. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, identifiable faces","zoom-out","...UNTILLLLL the government realizes how many people are exploiting this rule and slowly starts phasing it completely out of existence."
"10","Paper cut-out animation style, purple black and white color tone, hyper realistic two groups of faceless crowds standing on opposite sides of a giant cracked gold coin, cinematic, 8K ultra detail, photorealistic. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, identifiable faces","diagonal","When average people find out about this, half of them get furiously angry at the system, while the other half immediately start Googling commercial real estate."
