Serial number,image prompt,video prompt,voice over prompt
1,"A dramatic hyper realistic close-up of a glass door to a central London police station, cold rain trickling down, bright neon blue light casting reflection on wet pavement, cinematic lighting, 8K ultra detail. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, graphic content, recognizable faces",Slow dramatic zoom,"So imagine this: you walk into a police station, claim you've lost your memory, and expect everyone to believe it."
2,"A photorealistic wide shot of an interrogation room, a simple wooden table with two metal chairs, dim fluorescent light flickering overhead, heavy shadows, cinematic mood, 8K ultra detail. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, graphic content, recognizable faces",Subtle slow tilt,Meet John Darwin — a former prison officer who thought he devised the absolute perfect plan to delete his debts.
3,"A hyper realistic close-up of a printed newspaper article showing a grainy photograph of a couple posing happily in a tropical office, warm lighting, paper texture visible, cinematic documentary style, 8K ultra detail. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, graphic content, recognizable faces",Slow smooth pan,Spoiler alert: it ended up being one of the most hilariously failed deception schemes in modern history.
4,"A photorealistic shot of two young men looking devastated, sitting on a worn leather sofa in a dimly lit living room, warm candlelight casting deep shadows, emotional and somber atmosphere, cinematic, 8K ultra detail. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, graphic content, recognizable faces",Slow dramatic pan,And the worst part? He let his own two sons spend five years grieving his death while he was literally living next door.
5,"A hyper realistic close-up of a metal key turning in a rusty locker padlock, dramatic lighting, metallic textures, cinematic, 8K ultra detail. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, graphic content, recognizable faces",Slow rotating shot,"Yeah, it is exactly as crazy as it sounds, so stay with me because things get weird."
6,"A photorealistic exterior shot of a large Victorian brick terraced house in Hartlepool, dark overcast sky, wet streets, early 2000s cars parked outside, cinematic, 8K ultra detail. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, graphic content, recognizable faces",Slow low angle tilt,"It all started in Hartlepool, England, where John and his wife Anne owned a massive portfolio of rental properties."
7,"A hyper realistic close-up of a desk covered in unpaid bills, red final demand letters, bank statements showing negative balances, dim desk lamp lighting, cinematic, 8K ultra detail. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, graphic content, recognizable faces",Slow sweeping shot,"But behind the scenes, they were drowning in hundreds of thousands of pounds of debt."
8,"A photorealistic shot of John Darwin's prison officer uniform hanging on a wooden door, metal badge shining under single hallway light, cinematic, 8K ultra detail. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, graphic content, recognizable faces",Slow push-in,"John was working as a prison officer, but his salary wasn't even close to covering their mounting repayments."
9,"A hyper realistic close-up of a hand anxiously tapping a pen on a calculator display showing high debt figures, soft lighting, warm tones, cinematic, 8K ultra detail. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, graphic content, recognizable faces",Slow pull-back,"Like, honestly, most people would just sell a couple of houses, but John had a much more creative idea."
10,"A photorealistic wide shot of the dark North Sea coast from Seaton Carew, massive gray waves crashing against rocks, foggy sky, cinematic mood, 8K ultra detail. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, graphic content, recognizable faces",Slow orbital shot,He decided he was going to fake his own death at sea to claim a massive life insurance payout.
11,"A hyper realistic shot of a bright red plastic canoe resting on a sandy beach, dark stormy clouds gathering on the horizon, cinematic lighting, 8K ultra detail. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, graphic content, recognizable faces",Slow top-down tilt,"He went out and bought a simple red canoe, preparing for a voyage he never intended to finish."
12,"A photorealistic close-up of John Darwin's hands tying a nylon rope around a canoe paddle, cold morning light, cinematic, 8K ultra detail. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, graphic content, recognizable faces",Slow fade-in with zoom,"The plan was simple: paddle out, disappear, and let Anne claim he was lost at sea."
13,"A hyper realistic shot of a legal insurance policy document on a desk, a red pen resting next to the signature line, soft ambient lighting, cinematic, 8K ultra detail. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, graphic content, recognizable faces",Slow dramatic zoom,It was a quarter-of-a-million-pound gamble that required both of them to play their parts perfectly.
14,"A photorealistic shot of Anne Darwin staring blankly out a rain-streaked window, soft gloomy light highlighting her face, emotional, cinematic, 8K ultra detail. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, graphic content, recognizable faces",Subtle slow tilt,"Anne was hesitant, but with bankruptcy staring them in the face, she agreed to the scheme."
15,"A hyper realistic close-up of a clock ticking on a wall, second hand moving slowly, shadows lengthening across the room, cinematic, 8K ultra detail. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, graphic content, recognizable faces",Slow smooth pan,"Now, you'd think faking your death in a small town would be impossible, right?"
16,"A photorealistic wide shot of a red canoe floating empty in calm, vast ocean water under a hazy morning sky, cinematic, 8K ultra detail. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, graphic content, recognizable faces",Slow dramatic pan,"On March 21, 2002, John paddled his canoe into the freezing waters of the North Sea."
17,"A hyper realistic shot of a yellow coastguard rescue helicopter hovering over dark water, bright searchlight cutting through the mist, cinematic, 8K ultra detail. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, graphic content, recognizable faces",Slow rotating shot,"A massive search and rescue operation was launched, with boats and helicopters scouring the coast."
18,"A photorealistic shot of a damaged paddle washed up on a rocky shore, sea foam clinging to the wood, overcast sky, cinematic, 8K ultra detail. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, graphic content, recognizable faces",Slow low angle tilt,"A few weeks later, searchers found his wrecked canoe, and the coroner officially declared John dead."
19,"A hyper realistic close-up of a black mourning veil resting on a table next to a sympathy card, soft grieving light, cinematic, 8K ultra detail. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, graphic content, recognizable faces",Slow sweeping shot,"Anne played the role of the devastated widow perfectly, weeping in front of police and reporters."
20,"A photorealistic shot of a large family photo on a mantle, candle burning next to it, soft warm glow, cinematic, 8K ultra detail. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, graphic content, recognizable faces",Slow push-in,But wait — let that sink in: she didn't even tell their own children the truth.
21,"A hyper realistic close-up of a tear running down a young man's cheek, dark background, emotional cinematic lighting, 8K ultra detail. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, graphic content, recognizable faces",Slow pull-back,"Their sons, Mark and Anthony, genuinely believed their father had drowned in a horrific accident."
22,"A photorealistic shot of a small camper caravan parked in a remote grassy field under a starry night sky, cozy warm light glowing from the window, cinematic, 8K ultra detail. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, graphic content, recognizable faces",Slow orbital shot,"Meanwhile, John was actually hiding out in a caravan just a few miles away, eating beans and sleeping in a sleeping bag."
23,"A hyper realistic close-up of a hand drawing back a heavy curtain to peek outside, dim light illuminating the eye, suspenseful cinematic lighting, 8K ultra detail. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, graphic content, recognizable faces",Slow top-down tilt,"After a few weeks, he decided he was bored of the caravan and walked right back into his own house."
24,"A photorealistic shot of a secret door hidden behind a tall wooden wardrobe, one side slightly ajar revealing a narrow passage, warm light spilling through, cinematic, 8K ultra detail. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, graphic content, recognizable faces",Slow fade-in with zoom,"They owned the house next door, and John moved into a secret room connected by a hidden passage behind a wardrobe."
25,"A hyper realistic shot of John Darwin looking through a peephole in a front door, view of a quiet street outside, dramatic suspenseful lighting, cinematic, 8K ultra detail. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, graphic content, recognizable faces",Slow dramatic zoom,He spent his days walking around the house and even disguising himself with a limp and a beard to walk past neighbors.
26,"A photorealistic shot of an envelope containing a check for £250,000 lying on a wooden table, bright morning light, cinematic, 8K ultra detail. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, graphic content, recognizable faces",Subtle slow tilt,"With John officially dead, the insurance companies paid out a staggering two hundred and fifty thousand pounds."
27,"A hyper realistic close-up of hands counting stacks of British banknotes, warm ambient lighting, cinematic, 8K ultra detail. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, graphic content, recognizable faces",Slow smooth pan,"They used the money to pay off their mortgages and clear all their debts, just as John had planned."
28,"A photorealistic shot of Anne Darwin smiling and talking on a landline phone, cozy kitchen setting, warm domestic lighting, cinematic, 8K ultra detail. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, graphic content, recognizable faces",Slow dramatic pan,"To the outside world, Anne was slowly recovering from tragedy; to John, she was his personal chef and accomplice next door."
29,"A hyper realistic close-up of a computer monitor displaying an flight booking confirmation to Panama, soft blue light on keyboard, cinematic, 8K ultra detail. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, graphic content, recognizable faces",Slow rotating shot,"But they knew they couldn't live next door to a secret wardrobe forever, so they started planning their escape."
30,"A photorealistic shot of a baby's headstone in an old churchyard, moss growing on the stone, soft emotional lighting, cinematic, 8K ultra detail. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, graphic content, recognizable faces",Slow low angle tilt,John walked through a local cemetery to find the name of a deceased baby to steal their identity.
31,"A hyper realistic close-up of a British passport displaying the name 'John Jones', gold coat of arms shining under light, cinematic, 8K ultra detail. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, graphic content, recognizable faces",Slow sweeping shot,"He successfully obtained a fake passport under the name of John Jones, a baby who had died in 1950."
32,"A photorealistic shot of a leather suitcase lying open on a bed, summer clothes packed inside, warm light, cinematic, 8K ultra detail. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, graphic content, recognizable faces",Slow push-in,"With his new identity, John was ready to travel the world and find a new home for the couple."
33,"A hyper realistic close-up of an official stamp landing on a visa document, ink drying under desk light, cinematic, 8K ultra detail. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, graphic content, recognizable faces",Slow pull-back,They decided that Panama was the perfect place to hide their newly acquired wealth.
34,"A photorealistic wide shot of a tropical palm-fringed beach in Panama, bright golden sunlight, turquoise water, cinematic, 8K ultra detail. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, graphic content, recognizable faces",Slow orbital shot,"John flew out to Panama to look at land, leaving Anne in Hartlepool to finalize their affairs."
35,"A hyper realistic shot of John and Anne's wedding rings lying on a wooden table, soft romantic lighting, cinematic, 8K ultra detail. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, graphic content, recognizable faces",Slow top-down tilt,"It seemed like they had actually pulled off the perfect crime, but fate was about to step in."
36,"A photorealistic shot of a real estate office in Panama, local flags on the wall, bright sunny lighting, cinematic, 8K ultra detail. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, graphic content, recognizable faces",Slow fade-in with zoom,"In 2006, John and Anne officially bought a property in Panama and posed for a photo with a local estate agent."
37,"A hyper realistic close-up of a digital camera screen displaying a photo of John and Anne smiling together, soft glow on the camera body, cinematic, 8K ultra detail. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, graphic content, recognizable faces",Slow dramatic zoom,That single photograph would become the ultimate undoing of their entire five-year conspiracy.
38,"A photorealistic shot of John Darwin boarding an airplane, evening light casting long shadows on the tarmac, cinematic, 8K ultra detail. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, graphic content, recognizable faces",Subtle slow tilt,"By 2007, Panama changed its visa rules, requiring a police check that John's fake identity couldn't pass."
39,"A hyper realistic close-up of a passport being handed to an immigration officer behind glass, cold blue lighting, cinematic, 8K ultra detail. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, graphic content, recognizable faces",Slow smooth pan,"John realized his fake passport wouldn't work forever, so he decided to return to England with a new lie."
40,"A photorealistic shot of a police officer typing on a computer keyboard, blue light reflecting on his uniform badge, cinematic, 8K ultra detail. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, graphic content, recognizable faces",Slow dramatic pan,Wait — let that land: he actually thought he could just tell the police he had amnesia and walk away free.
41,"A hyper realistic close-up of a police logbook entry with the words 'Amnesia Case' written in black ink, harsh white light, cinematic, 8K ultra detail. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, graphic content, recognizable faces",Slow rotating shot,"On December 1, 2007, John walked into a London police station claiming he had no memory of the last five years."
42,"A photorealistic wide shot of a newsroom with reporters looking at monitors, bright screens, busy atmosphere, cinematic, 8K ultra detail. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, graphic content, recognizable faces",Slow low angle tilt,The media immediately erupted with the miracle story of the missing canoeist who had returned from the dead.
43,"A hyper realistic close-up of a hand clicking a computer mouse, browser displaying an image search page, soft warm lighting, cinematic, 8K ultra detail. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, graphic content, recognizable faces",Slow sweeping shot,But an internet user decided to search for 'John Darwin' and 'Panama' on a search engine.
44,"A photorealistic shot of a laptop screen displaying the infamous Panama photo of John and Anne smiling, dark room, screen glowing bright, cinematic, 8K ultra detail. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, graphic content, recognizable faces",Slow push-in,"And there it was: the photo of John and Anne standing side-by-side in Panama, dated 2006."
45,"A hyper realistic close-up of a telephone receiver resting on a desk, a red warning light flashing on the base, cinematic, 8K ultra detail. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, graphic content, recognizable faces",Slow pull-back,"The photo was immediately sent to the police, blowing their entire cover story wide open."
46,"A photorealistic shot of police cars with flashing blue lights parked outside a brick house, wet night pavement, cinematic, 8K ultra detail. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, graphic content, recognizable faces",Slow orbital shot,"Within days, both John and Anne were arrested and charged with massive fraud."
47,"A hyper realistic close-up of a courtroom gavel resting on a wooden sound block, polished mahogany texture, dramatic lighting, cinematic, 8K ultra detail. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, graphic content, recognizable faces",Slow top-down tilt,Their trial at Teesside Crown Court became a national sensation as the details of the secret wardrobe were revealed.
48,"A photorealistic shot of Anne Darwin sitting in a witness box, looking anxious, soft courtroom lighting, emotional cinematic mood, 8K ultra detail. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, graphic content, recognizable faces",Slow fade-in with zoom,"Anne tried to claim she was forced into the plan by John, but the jury saw right through the defense."
49,"A hyper realistic close-up of a judge's face in shadow, wearing traditional wig and robes, dark background, dramatic lighting, cinematic, 8K ultra detail. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, graphic content, recognizable faces",Slow dramatic zoom,"In July 2008, both were found guilty and sentenced to over six years in prison each."
50,"A photorealistic shot of a cell door window showing a view of a barren courtyard, cold gray light, cinematic, 8K ultra detail. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, graphic content, recognizable faces",Subtle slow tilt,"John received six years and three months, while Anne received six years and six months for her role."
51,"A hyper realistic close-up of a prison visitor phone being hung up on its cradle, metal grating visible behind glass, cinematic, 8K ultra detail. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, graphic content, recognizable faces",Slow smooth pan,"Their sons refused to speak to them, completely devastated by the ultimate betrayal of their trust."
52,"A photorealistic shot of a cell wall with a calendar, days crossed out in black marker, dim light, cinematic, 8K ultra detail. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, graphic content, recognizable faces",Slow dramatic pan,"While in prison, the couple's relationship completely fell apart, leading to a bitter divorce."
53,"A hyper realistic close-up of a divorce decree document lying on a wooden table, official stamp visible, soft ambient lighting, cinematic, 8K ultra detail. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, graphic content, recognizable faces",Slow rotating shot,"Anne decided she wanted nothing to do with John anymore, realizing the wreckage he had brought to their family."
54,"A photorealistic shot of John Darwin walking out of a prison gate carrying a small duffel bag, bright morning sun casting long shadow, cinematic, 8K ultra detail. Negative prompt: cartoon, anime, illustration, 3D render, CGI, blurry, distorted, deformed, watermark, text overlay, pixelated, low quality, graphic content, recognizable faces",Slow low angle tilt,"In 2011, Anne was released from prison, followed by John in 2012 after serving their time."
